name,price_level,rating,types,user_ratings_total,place_id,hidden_gem
Burger Bakar Qebul,1,4.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",2471,ChIJ1yyRCIztaS4RtmkxeidQn9Q,1
Sate Maranggi Hj. Ani Pondok Kelapa,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",97,ChIJ1eUEuUmNaS4RmOltRx68-_A,1
Dimsum haus,,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",20,ChIJHe6bVAiNaS4RObYaC_97gkg,1
Warung Nasi Padang Dibao Untuang,,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",546,ChIJRT9kJSb0aS4RFjauBVFC_ck,1
"Kopimpa Coffee, Kemanggisan",,4.7,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",147,ChIJS71X3QL3aS4R4tJL9OyNvjY,1
KETOPRAK CIREBON FAMILY,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,ChIJT_MoJWcfai4RwaVxBNXZ6q4,1
Teapotto,2,4.8,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",391,ChIJuTeBtvznaC4RAzYdaVHxOqQ,1
Rumah Makan Santung,2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",448,ChIJe5fY3z_maC4RZeQZnV1iMCg,1
Gala Concept Store,,4.8,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",63,ChIJD-CxoJnpaC4RkUBWTzD0X9s,1
Gombal Asap (Sego Sambal Ikan Asap),2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",101,ChIJVd_BdLXnaC4R10VTUyO0eOQ,1
Tjemara Noodle Bar - Solo,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1113,ChIJqYJx3y4Vei4RqtVNYc0veoA,1
SOTO GOBYOS SW,,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",144,ChIJB6WOXv__aS4R_S2vku0ZfNI,1
Sate solo PAK MAIL,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,ChIJ95k5dVT_aS4R1BUHFTdV05A,1
Cliq Coffee & kitchen,2,4.5,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",599,ChIJJTMBdXrxaS4RSHM1g62S-LM,1
Chuck Wie Bali,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",32,ChIJM0Bj9wlB0i0R_j4C8Qz9VXA,1
Omah SaeRah,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",342,ChIJSxo1v7LtaS4RY1dG-M-Ew3s,1
Nara Kopi,1,4.7,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",100,ChIJTcfVCeUp1i0RgGI7Hen9hAw,1
Bakso bakwan malang cak su kumis,,4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",30,ChIJe-Ffs8KNcC4Rsad8n0NtUCg,1
Bakso Malang Mas Pepen,1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2074,ChIJ3RyifDu51C8RXRHMdt_W_Bk,1
Hero Coffee Indonesia,2,4.6,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1809,ChIJl0zRSRZZei4R4Fn39khJuss,1
Pujasera Beringin,,4.6,"['food', 'point_of_interest', 'establishment']",12,ChIJv0_TgKCMcC4RztMdqVcIFcs,1
Mie Makmur,,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",67,ChIJNZ0ttMv1cC4RI4fWFEHCk4Q,1
Sperata Cafe'nResto,,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,ChIJ1wdRR-BYei4RfMHeH9Z-bqw,0
The Alana Yogyakarta Hotel & Convention Center,,4.7,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",18339,ChIJXXBYPeJYei4RMz0TBt7x4-M,0
Waroeng SS Palagan,1,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",5594,ChIJldbCLeJYei4R2K0pfYCeeFo,0
Cengkir Heritage Resto and Coffee,2,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",5263,ChIJmfV6pyNZei4RZNRCbUAfe70,0
Soto Lamongan Koya,,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",3,ChIJQYwEgRlaei4Rq1IDt5qsWvE,0
Bebek Kaleyo BSD,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",7067,ChIJI495YiHlaS4Rpf04QgvjbOw,0
Sop Tunjang Mak Angah,,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,ChIJqSB_BUflaS4RMPdiJ0r-bXA,0
Grand Tjokro Yogyakarta,,4.4,"['night_club', 'lodging', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",5288,ChIJY7YIA7pZei4RgTFiK-QSXL8,0
Waroeng Steak & Shake Pandega Jogja,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",6667,ChIJQUqhIOhZei4Rw0UtUcR9Efc,0
Parsley Bakery & Resto Jakal,2,4.6,"['restaurant', 'bakery', 'food', 'store', 'point_of_interest', 'establishment']",5799,ChIJWfro56VZei4RSzqKqZaGAdQ,0
Kedai Soia,,2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,ChIJwTajYK1Zei4RLMqPBZTZXgk,0
McDonald's (Kaliurang),2,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",9752,ChIJUf61j6xZei4R8BquRPVGu6M,0
Gudeg Yu Djum Pusat,2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5712,ChIJhbz9P61Zei4REA0BJmJXiD0,0
Gudeg Bu Hj. Amad,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",7998,ChIJWWhOU7JZei4RSwrVqhlhfVk,0
HokBen Kaliurang,2,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",6994,ChIJBYAG5axZei4RHIaDAEYYmmg,0
favehotel Kusumanegara,,4.6,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",10647,ChIJ1YehTWRXei4RhFDAZ4-qQLM,0
Pizza Hut Sultan Agung,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",6112,ChIJSZrulHhXei4RCJD5MLiBbjA,0
BigBurger比飽嗝大漢堡早午餐,1,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",453,ChIJ01Omy3eqQjQRhvpfxIod038,0
比拉迦谷傳奇 Beracah Legend,,5.0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2,ChIJObBpVcGpQjQRKKEF52z5JWg,0
The Alana Hotel & Conference Center Malioboro,,4.7,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",15656,ChIJNR0rk5dXei4RjLGsCbR4Z6A,0
Bina Nusa Rama PT,,0.0,"['store', 'point_of_interest', 'establishment']",0,ChIJ7YBoUOLmaC4RXNagXC6UaiU,0
Ayam Goreng Fatmawati,,4.4,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",49,ChIJc9F5HcPxaS4RSYZx-npQCVU,0
McDonald's Sudirman Jogja,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",16404,ChIJOemYgTFYei4RcX5Dn6FClIk,0
Roaster And Bear Restaurant,2,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",5407,ChIJd5Q4fDBYei4RG6uDmHe8xXs,0
Kimaya Sudirman Yogyakarta by Harris,,4.5,"['gym', 'spa', 'health', 'restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",5756,ChIJkaPNMjJYei4R3ci1mdlX780,0
Grand Aston Yogyakarta Hotel & Convention Center,,4.6,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",6550,ChIJN5ocxc1Zei4RuNZbrkX7R54,0
McDonald's Sudirman Jogja,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",16404,ChIJOemYgTFYei4RcX5Dn6FClIk,0
比拉迦谷傳奇 Beracah Legend,,5.0,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2,ChIJObBpVcGpQjQRKKEF52z5JWg,0
Bina Nusa Rama PT,,0.0,"['store', 'point_of_interest', 'establishment']",0,ChIJ7YBoUOLmaC4RXNagXC6UaiU,0
Sate Ratu,2,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",7482,ChIJrbub8_ZYei4RNInQLcwq9Nk,0
The Alana Yogyakarta Hotel & Convention Center,,4.7,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",18339,ChIJXXBYPeJYei4RMz0TBt7x4-M,0
Siomay Express,,4.5,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",13,ChIJsaVeM4ap1TER7J59tBur5VY,0
Waroeng Steak and Shake Cokro Jogja,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",5916,ChIJccZmahZYei4RnjIKGzR9ly0,0
Omah Pedes,1,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",102,ChIJFyk2ch9Yei4RvtYh-dXo8l4,0
Royal Ambarrukmo Yogyakarta,,4.8,"['spa', 'lodging', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",19626,ChIJ-cWDJehZei4R8u6klsK_7I0,0
TOKO INDO EMBUL FAJAR 印尼商店,,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",37,ChIJS4LtpSsDaDQRG7KioGESc3E,0
McDonald's Ambarukmo,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",11883,ChIJN9XWvOhZei4RPW3F3uHdgR4,0
BigBurger比飽嗝大漢堡早午餐,1,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",453,ChIJ01Omy3eqQjQRhvpfxIod038,0
Lesehan Sego Tampah(ꦭꦺꦱꦺꦲꦤ꧀ꦱꦼꦒꦺꦴꦠꦩ꧀ꦥꦃ),,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",16,ChIJO06NSQVXei4RboYovoaQIHM,0
Royal Ambarrukmo Yogyakarta,,4.8,"['spa', 'lodging', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",19626,ChIJ-cWDJehZei4R8u6klsK_7I0,0
Raja Baso Tahu Saboga Plaza Ambarukmo,,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",7,ChIJL-YCksJZei4RpF6N7P2fB08,0
Solaria Ambarukmo,2,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",321,ChIJL-YCksJZei4RtsRPy_E_NfU,0
Dcrepes Plaza Ambarrukmo,2,3.8,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",77,ChIJ2-MCjsJZei4RqMbOrAVBrZU,0
Oishii Bento Plaza Ambarukmo,,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",47,ChIJt2k8u8JZei4RqH7bBk8Gik8,0
Liquid Bar And Kitchen,2,4.5,"['liquor_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",5117,ChIJbc2bgURYei4RAw8upAxTexE,0
Borneo Dragon City,,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,ChIJKYpT2PVYei4R_gkaTmK7SQU,0
Oishii Bento,1,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",692,ChIJMRkulSnyNIgRFX20W4CdRes,0
Parsley Bakery & Resto Jakal,2,4.6,"['restaurant', 'bakery', 'food', 'store', 'point_of_interest', 'establishment']",5799,ChIJWfro56VZei4RSzqKqZaGAdQ,0
Kedai Soia,,2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,ChIJwTajYK1Zei4RLMqPBZTZXgk,0
McDonald's (Kaliurang),2,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",9752,ChIJUf61j6xZei4R8BquRPVGu6M,0
Gudeg Bu Hj. Amad,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",7998,ChIJWWhOU7JZei4RSwrVqhlhfVk,0
ES CENDOL PANDAN SUJI (pandega marta outlet),,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",9,ChIJtYyouVVYei4R49QWQF3L89s,0
Gudeg Yu Djum Pusat,2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5712,ChIJhbz9P61Zei4REA0BJmJXiD0,0
Grand Tjokro Yogyakarta,,4.4,"['night_club', 'lodging', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",5288,ChIJY7YIA7pZei4RgTFiK-QSXL8,0
Siomay Express,,4.5,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",13,ChIJsaVeM4ap1TER7J59tBur5VY,0
Ayam Gepuk Pak Gembus Cabang Kuningan Barat,,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",89,ChIJvT69s-DzaS4R6rtfxShONnc,0
Pasteliciouz,,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",73,ChIJu87SB9DzaS4RYuXKY91TfRA,0
Pasteliciouz,,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",73,ChIJu87SB9DzaS4RYuXKY91TfRA,0
Pasteliciouz,,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",73,ChIJu87SB9DzaS4RYuXKY91TfRA,0
favehotel PGC Cililitan,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",12510,ChIJv4DEUv_yaS4R282z4bRajn4,0
Front Yard Bar And Grill,,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7,ChIJH3_5SFXZljMRoWQEbd0GQgY,0
Cemilan United,,3.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2,ChIJzQmenDXyaS4RXieHPrkbsYc,0
好市多 台中店,2,4.2,"['store', 'point_of_interest', 'establishment']",38770,ChIJYeJ0W7E9aTQRR8DauML2DEA,0
Warung Nasi Hj. Mai,,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,ChIJbYBGL7bzaS4ReqONbAQ85_I,0
Pasteliciouz,,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",73,ChIJu87SB9DzaS4RYuXKY91TfRA,0
Pasteliciouz,,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",73,ChIJu87SB9DzaS4RYuXKY91TfRA,0
Ayam Gepuk Pak Gembus Cabang Kuningan Barat,,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",89,ChIJvT69s-DzaS4R6rtfxShONnc,0
Miegalomen,,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1,ChIJSTFTuGDxaS4R_akRt6-vNpA,0
"Sari Pacific Jakarta, Autograph Collection",,4.5,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",9941,ChIJuWggIin0aS4R474PCAs_gEQ,0
桃米星海民宿 TAOMI SKYE,,5.0,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",90,ChIJq41qr7DXaDQR6xWaYUihaAs,0
Seribu Rasa Menteng,3,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5243,ChIJR2I0yCX0aS4RnsVGtM67WiI,0
Front Yard Bar And Grill,,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7,ChIJH3_5SFXZljMRoWQEbd0GQgY,0
Miegalomen,,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1,ChIJSTFTuGDxaS4R_akRt6-vNpA,0
McDonald's Kemang Raya,2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",16669,ChIJVdlean_xaS4R2hUrKOAXfEg,0
Amadeus Sejati Prima. PT,,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,ChIJw0kkjgTyaS4RHN-hYe84dYo,0
Sapikate,,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",7,ChIJSebkMxzyaS4RhOSob4rlweI,0
Agak Gigit Fried Chicken,,3.8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",5,ChIJmSZKIvzxaS4RvA3wFzdRMAo,0
Angkringan Bli Edi,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",4,ChIJg0dAZpLxaS4R66O1sdCrbO0,0
Pagi Sore,2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",7729,ChIJWXjQj5TxaS4RGK9QY2PQxE8,0
Mister Baso - Mall Poins Square,2,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",81,ChIJAUUWFs7xaS4RndeU9HjLJ-w,0
ASTON Priority Simatupang Hotel & Conference Center,,4.8,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",23024,ChIJ_fZWgR9E0i0RO4aL1fA8dyQ,0
KEDAI WAK-WAW,,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",21,ChIJf22YVomLEzIR9sVZokBcjbs,0
ASTON Imperial Bekasi Hotel & Conference Center,,4.5,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",11806,ChIJHaf_DziJaS4RkTdkmxSvHbM,0
"Sari Pacific Jakarta, Autograph Collection",,4.5,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",9941,ChIJuWggIin0aS4R474PCAs_gEQ,0
桃米星海民宿 TAOMI SKYE,,5.0,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",90,ChIJq41qr7DXaDQR6xWaYUihaAs,0
Seribu Rasa Menteng,3,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5243,ChIJR2I0yCX0aS4RnsVGtM67WiI,0
Sate Padang GELORA,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5,ChIJgQyW1eX2aS4RvDcGFTC6FOk,0
De Geprek Mbak Tyas - Syahdan,,2.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",9,ChIJryEpCrz3aS4R-GGMfvN5WgY,0
PT. Peran Tara Energi (PTE),,0.0,"['point_of_interest', 'establishment']",0,ChIJSbC8yr8fai4R2-espD-dLE0,0
KEBAB AINUN,,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,ChIJMXOLncIfai4RZxoxVur2Ewo,0
Angkringan Jepang • Kafe Sepeda,,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",16,ChIJy-t1hvEfai4RA11jHN-mMts,0
Tahu Yun-Yi,,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,ChIJxVR_Oj_kaC4Ruz3goxVR3xI,0
Kedai Dimsum 168,,0.0,"['store', 'point_of_interest', 'food', 'establishment']",0,ChIJ55XUG1rnaC4RFKQ7zSi9dUU,0
favehotel Premier - Cihampelas,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",6061,ChIJ687ZnVzmaC4RkgDKUTzCqPw,0
Kehidupan Tidak Pernah Berakhir,1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",6488,ChIJqT2i9EDmaC4RX7CS8i2amQ0,0
Tong Tji,1,3.1,"['food', 'store', 'point_of_interest', 'establishment']",21,ChIJA_ZOB9kxMTARXjd42HYxbzY,0
Warung Ibu Itok,1,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,ChIJZ8sz_53maC4RBmMya_6YRss,0
Sate Padang Pariaman 3 Putri,,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']",17,ChIJBTYll5fmaC4RC_ql4i2SiGE,0
Kedai Timbel Gerlong,,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",37,ChIJrWMTEZjmaC4RF3vvO1S1tL0,0
Grand Tjokro Premiere Bandung,,4.5,"['lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",15166,ChIJyeYjCvbmaC4RO40HZ14gpjo,0
Miss Bee Providore,3,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",5721,ChIJIbRneujmaC4RRAGka69dSLM,0
ASTON Solo Hotel,,4.7,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",7394,ChIJT9qvhy4Uei4Rj0T3GDWAl1c,0
favehotel Manahan - Solo,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",11243,ChIJLwo8Fj4Uei4R3DtAQJGk3Ts,0
Warmindo 29,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",57,ChIJtZk6lywUei4RFHgNaDI5cpg,0
PIZZA HUT必勝客-台中山西店,2,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",568,ChIJzZkVZ9AXaTQR2Z5bKDfTRTM,0
"Waroeng Spesial Sambal ""SS"" Manahan Timur",1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",6577,ChIJe8QqX80Vei4R6Kgh5Ir-zdM,0
Mie Gacoan Mawar,1,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",9513,ChIJr-NSd4EWei4RnYZAegK2wwo,0
BigBurger比飽嗝大漢堡早午餐,1,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",453,ChIJ01Omy3eqQjQRhvpfxIod038,0
AYAM GEPREK TOMANG,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",13,ChIJG8cQ2Tz_aS4RNjafjRHT7A8,0
NASI BEBEK CADAS KHAS MADURA,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",9,ChIJyWnLh3v_aS4Ry8TKWy29zCc,0
Miegalomen,,3.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1,ChIJSTFTuGDxaS4R_akRt6-vNpA,0
Gubug Udang Restaurant,,4.4,"['campground', 'lodging', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",11075,ChIJ49pe2dL1aS4R3467DK8qzbA,0
Dcrepes CJ,2,3.6,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",44,ChIJ7fHTQqPsaS4RGy2Wu5SVgGo,0
Fatmawati Chicken Fried,2,3.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",5,ChIJ7fHTQqPsaS4RlApyHxVChI8,0
Sari Ratu,,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",226,ChIJeQrEZEjxaS4R80EfA8QnjlQ,0
